Jahr;GEMEINDE_BFS_NR;GEMEINDE;Bezirk NR;BEZIRK;REGION_CODE;REGION;ANZAHL_PERSONEN_TOTAL
01.01.2013;43;Volken;2;Andelfingen;110;Weinland;305
01.01.2011;43;Volken;2;Andelfingen;110;Weinland;307
01.01.2010;43;Volken;2;Andelfingen;110;Weinland;310
01.01.2012;43;Volken;2;Andelfingen;110;Weinland;311
01.01.2016;43;Volken;2;Andelfingen;110;Weinland;336
01.01.2017;43;Volken;2;Andelfingen;110;Weinland;337
01.01.2014;43;Volken;2;Andelfingen;110;Weinland;339
01.01.2015;43;Volken;2;Andelfingen;110;Weinland;339
01.01.2018;43;Volken;2;Andelfingen;110;Weinland;362
01.01.2019;43;Volken;2;Andelfingen;110;Weinland;380
01.01.2020;43;Volken;2;Andelfingen;110;Weinland;383
01.01.2020;41;Truttikon;2;Andelfingen;110;Weinland;450
01.01.2013;41;Truttikon;2;Andelfingen;110;Weinland;451
01.01.2010;32;Humlikon;2;Andelfingen;110;Weinland;456
01.01.2020;95;Regensberg;4;Dielsdorf;111;Zürcher Unterland;461
01.01.2014;41;Truttikon;2;Andelfingen;110;Weinland;463
01.01.2019;41;Truttikon;2;Andelfingen;110;Weinland;464
01.01.2015;95;Regensberg;4;Dielsdorf;111;Zürcher Unterland;465
01.01.2019;95;Regensberg;4;Dielsdorf;111;Zürcher Unterland;465
01.01.2012;41;Truttikon;2;Andelfingen;110;Weinland;465
01.01.2016;95;Regensberg;4;Dielsdorf;111;Zürcher Unterland;469
01.01.2011;41;Truttikon;2;Andelfingen;110;Weinland;469
01.01.2016;41;Truttikon;2;Andelfingen;110;Weinland;469
01.01.2017;95;Regensberg;4;Dielsdorf;111;Zürcher Unterland;473
01.01.2015;41;Truttikon;2;Andelfingen;110;Weinland;473
01.01.2010;41;Truttikon;2;Andelfingen;110;Weinland;475
01.01.2011;32;Humlikon;2;Andelfingen;110;Weinland;477
01.01.2017;41;Truttikon;2;Andelfingen;110;Weinland;477
01.01.2018;41;Truttikon;2;Andelfingen;110;Weinland;478
01.01.2013;32;Humlikon;2;Andelfingen;110;Weinland;482
01.01.2012;32;Humlikon;2;Andelfingen;110;Weinland;484
01.01.2020;32;Humlikon;2;Andelfingen;110;Weinland;484
01.01.2019;32;Humlikon;2;Andelfingen;110;Weinland;485
01.01.2013;95;Regensberg;4;Dielsdorf;111;Zürcher Unterland;485
01.01.2017;32;Humlikon;2;Andelfingen;110;Weinland;486
01.01.2018;32;Humlikon;2;Andelfingen;110;Weinland;486
01.01.2018;95;Regensberg;4;Dielsdorf;111;Zürcher Unterland;486
01.01.2010;95;Regensberg;4;Dielsdorf;111;Zürcher Unterland;488
01.01.2014;95;Regensberg;4;Dielsdorf;111;Zürcher Unterland;489
01.01.2012;95;Regensberg;4;Dielsdorf;111;Zürcher Unterland;490
01.01.2016;32;Humlikon;2;Andelfingen;110;Weinland;495
01.01.2014;32;Humlikon;2;Andelfingen;110;Weinland;498
01.01.2011;95;Regensberg;4;Dielsdorf;111;Zürcher Unterland;498
01.01.2015;32;Humlikon;2;Andelfingen;110;Weinland;504
01.01.2011;70;Wasterkingen;3;Bülach;111;Zürcher Unterland;547
01.01.2012;70;Wasterkingen;3;Bülach;111;Zürcher Unterland;547
01.01.2018;70;Wasterkingen;3;Bülach;111;Zürcher Unterland;554
01.01.2010;70;Wasterkingen;3;Bülach;111;Zürcher Unterland;559
01.01.2016;70;Wasterkingen;3;Bülach;111;Zürcher Unterland;559
01.01.2019;70;Wasterkingen;3;Bülach;111;Zürcher Unterland;560
01.01.2012;21;Adlikon;2;Andelfingen;110;Weinland;562
01.01.2017;23;Berg a.I.;2;Andelfingen;110;Weinland;562
01.01.2020;70;Wasterkingen;3;Bülach;111;Zürcher Unterland;564
01.01.2011;81;Bachs;4;Dielsdorf;111;Zürcher Unterland;567
01.01.2015;23;Berg a.I.;2;Andelfingen;110;Weinland;567
01.01.2016;23;Berg a.I.;2;Andelfingen;110;Weinland;567
01.01.2014;70;Wasterkingen;3;Bülach;111;Zürcher Unterland;568
01.01.2018;23;Berg a.I.;2;Andelfingen;110;Weinland;569
01.01.2013;70;Wasterkingen;3;Bülach;111;Zürcher Unterland;572
01.01.2013;21;Adlikon;2;Andelfingen;110;Weinland;573
01.01.2010;81;Bachs;4;Dielsdorf;111;Zürcher Unterland;573
01.01.2015;70;Wasterkingen;3;Bülach;111;Zürcher Unterland;573
01.01.2012;81;Bachs;4;Dielsdorf;111;Zürcher Unterland;574
01.01.2017;70;Wasterkingen;3;Bülach;111;Zürcher Unterland;574
01.01.2013;23;Berg a.I.;2;Andelfingen;110;Weinland;576
01.01.2010;21;Adlikon;2;Andelfingen;110;Weinland;577
01.01.2019;23;Berg a.I.;2;Andelfingen;110;Weinland;578
01.01.2011;21;Adlikon;2;Andelfingen;110;Weinland;579
01.01.2014;23;Berg a.I.;2;Andelfingen;110;Weinland;579
01.01.2018;81;Bachs;4;Dielsdorf;111;Zürcher Unterland;580
01.01.2015;81;Bachs;4;Dielsdorf;111;Zürcher Unterland;585
01.01.2011;23;Berg a.I.;2;Andelfingen;110;Weinland;586
01.01.2012;23;Berg a.I.;2;Andelfingen;110;Weinland;587
01.01.2017;81;Bachs;4;Dielsdorf;111;Zürcher Unterland;588
01.01.2020;23;Berg a.I.;2;Andelfingen;110;Weinland;595
01.01.2019;81;Bachs;4;Dielsdorf;111;Zürcher Unterland;596
01.01.2014;81;Bachs;4;Dielsdorf;111;Zürcher Unterland;598
01.01.2010;23;Berg a.I.;2;Andelfingen;110;Weinland;599
01.01.2010;211;Altikon;10;Uster;109;Winterthur und Umgebung;601
01.01.2016;81;Bachs;4;Dielsdorf;111;Zürcher Unterland;601
01.01.2013;81;Bachs;4;Dielsdorf;111;Zürcher Unterland;607
01.01.2014;21;Adlikon;2;Andelfingen;110;Weinland;609
01.01.2010;8;Maschwanden;1;Affoltern;105;Knonaueramt;612
01.01.2020;81;Bachs;4;Dielsdorf;111;Zürcher Unterland;615
01.01.2012;211;Altikon;10;Uster;109;Winterthur und Umgebung;618
01.01.2011;211;Altikon;10;Uster;109;Winterthur und Umgebung;619
01.01.2013;26;Dorf;2;Andelfingen;110;Weinland;620
01.01.2016;8;Maschwanden;1;Affoltern;105;Knonaueramt;620
01.01.2016;26;Dorf;2;Andelfingen;110;Weinland;626
01.01.2015;26;Dorf;2;Andelfingen;110;Weinland;627
01.01.2010;26;Dorf;2;Andelfingen;110;Weinland;633
01.01.2011;26;Dorf;2;Andelfingen;110;Weinland;633
01.01.2012;26;Dorf;2;Andelfingen;110;Weinland;634
01.01.2013;211;Altikon;10;Uster;109;Winterthur und Umgebung;635
01.01.2017;8;Maschwanden;1;Affoltern;105;Knonaueramt;636
01.01.2020;8;Maschwanden;1;Affoltern;105;Knonaueramt;636
01.01.2015;8;Maschwanden;1;Affoltern;105;Knonaueramt;638
01.01.2019;8;Maschwanden;1;Affoltern;105;Knonaueramt;640
01.01.2011;8;Maschwanden;1;Affoltern;105;Knonaueramt;641
01.01.2012;8;Maschwanden;1;Affoltern;105;Knonaueramt;641
01.01.2014;26;Dorf;2;Andelfingen;110;Weinland;643
01.01.2018;8;Maschwanden;1;Affoltern;105;Knonaueramt;648
01.01.2016;211;Altikon;10;Uster;109;Winterthur und Umgebung;653
01.01.2017;21;Adlikon;2;Andelfingen;110;Weinland;655
01.01.2015;211;Altikon;10;Uster;109;Winterthur und Umgebung;655
01.01.2014;211;Altikon;10;Uster;109;Winterthur und Umgebung;657
01.01.2018;26;Dorf;2;Andelfingen;110;Weinland;658
01.01.2019;26;Dorf;2;Andelfingen;110;Weinland;658
01.01.2015;21;Adlikon;2;Andelfingen;110;Weinland;662
01.01.2016;21;Adlikon;2;Andelfingen;110;Weinland;662
01.01.2011;87;Hüttikon;4;Dielsdorf;103;Furttal;664
01.01.2013;8;Maschwanden;1;Affoltern;105;Knonaueramt;664
01.01.2014;8;Maschwanden;1;Affoltern;105;Knonaueramt;664
01.01.2020;26;Dorf;2;Andelfingen;110;Weinland;665
01.01.2010;87;Hüttikon;4;Dielsdorf;103;Furttal;665
01.01.2012;87;Hüttikon;4;Dielsdorf;103;Furttal;668
01.01.2017;211;Altikon;10;Uster;109;Winterthur und Umgebung;674
01.01.2013;87;Hüttikon;4;Dielsdorf;103;Furttal;679
01.01.2017;26;Dorf;2;Andelfingen;110;Weinland;684
01.01.2020;21;Adlikon;2;Andelfingen;110;Weinland;689
