RID;PLZ;City;Material ID
19335;1000;Lausanne 25;20
30316;1000;Lausanne 25;2,4,5,24,25
39133;1000;Lausanne;5,20
41499;1000;Lausanne;5,6,28,37,17,30,20
41520;1000;Lausanne;5,6,28,37,17,30,20
19242;1003;Lausanne;20
28541;1003;Lausanne;5,20
29068;1003;Lausanne;5,20
29296;1003;Lausanne;5,28,37,17,30,20,29
29297;1003;Lausanne;5,28,37,17,30,20,29
30304;1003;Lausanne;2,4,24,25
30351;1003;Lausanne;4,24
30352;1003;Lausanne;4,24
30577;1003;Lausanne;4,5,20
35373;1003;Lausanne;20
47417;1003;Lausanne;5,34,37,17,30,20,29
47444;1003;Lausanne;5,34,28,19,37,17,30,20,29
47831;1003;Lausanne;5,20
22755;1004;Lausanne;4,30,20
28535;1004;Lausanne;5,20
29300;1004;Lausanne;5,28,37,17,30,20,29
29302;1004;Lausanne;5,28,37,17,30,20,29
29303;1004;Lausanne;5,28,37,17,30,20,29
30293;1004;Lausanne;4,24,25
30295;1004;Lausanne;4,5,24,25
30305;1004;Lausanne;4,24,25
30327;1004;Lausanne;2,4,5,24,25
30345;1004;Lausanne;2,4,24,25
30353;1004;Lausanne;2,4,5,24,25
30354;1004;Lausanne;4,24
30359;1004;Lausanne;2,4,24,25
30360;1004;Lausanne;4,24,25
30371;1004;Lausanne;4,24,25
30576;1004;Lausanne;4,5,20
35451;1004;Lausanne;4,24
35454;1004;Lausanne;4,24
47424;1004;Lausanne;5,34,19,37,17,30,20,29
47439;1004;Lausanne;5,34,28,19,37,17,30,20,29
8025;1005;Lausanne;1,2,4,5,6,28,9,10,11,13,19,14,16,17,3,20,39,21,22,23,24,25,27,26
16686;1005;Lausanne;20
29295;1005;Lausanne;5,28,37,17,30,20,29
30302;1005;Lausanne;2,4,5,24
30330;1005;Lausanne;25
30350;1005;Lausanne;2,4,5,24,25
30369;1005;Lausanne;2,4,5,24,25
30377;1005;Lausanne;2,4,5,24
35455;1005;Lausanne;4,24
39449;1005;Lausanne;5,28,37,17,30,20,29
39871;1005;Lausanne;20
8026;1006;Lausanne;1,2,4,5,6,28,9,10,11,12,19,14,16,17,18,3,20,39,21,22,23,24,25,27,26
21649;1006;Lausanne;20
28536;1006;Lausanne;5,20
29292;1006;Lausanne;5,28,37,17,30,20,29
29293;1006;Lausanne;5,28,37,17,30,20,29
30323;1006;Lausanne;4,24,25
30338;1006;Lausanne;2,4,5,24,25
30347;1006;Lausanne;25
30361;1006;Lausanne;2,4,5,24,25
30376;1006;Lausanne;2,4,24,25
30578;1006;Lausanne;5,20
30579;1006;Lausanne;4,5,20
35442;1006;Lausanne;4,24,25
35444;1006;Lausanne;25
35445;1006;Lausanne;25
35447;1006;Lausanne;2,4,24,25
35448;1006;Lausanne;4,24
47440;1006;Lausanne;5,34,28,19,37,17,30,20,29
8028;1007;Lausanne;1,2,4,5,6,28,9,10,11,19,14,16,17,18,3,20,39,21,22,23,24,25,27,26
20378;1007;Lausanne;20
20380;1007;Lausanne;20
21521;1007;Lausanne;20
28534;1007;Lausanne;5,20
29290;1007;Lausanne;5,28,37,17,30,20,29
29294;1007;Lausanne;5,28,37,17,30,20,29
30291;1007;Lausanne;4,24,25
30299;1007;Lausanne;25
30310;1007;Lausanne;4,24,25
30329;1007;Lausanne;4,24,25
30332;1007;Lausanne;2,4,5,24,25
30335;1007;Lausanne;2,4,24,25
30339;1007;Lausanne;2,4,5,24
30346;1007;Lausanne;2
30373;1007;Lausanne;4,24,25
35423;1007;Lausanne;20
35456;1007;Lausanne;2
35457;1007;Lausanne;2
35458;1007;Lausanne;1,4,24,25
41510;1007;Lausanne;5,6,28,37,17,30,20
45324;1007;Lausanne;20
45696;1007;Lausanne;20
45705;1007;Lausanne;20
47403;1007;Lausanne;5,34,19,37,17,30,20,29
47410;1007;Lausanne;5,34,19,37,17,30,20,29
18456;1008;Prilly;20
19343;1008;Prilly;20
19407;1008;Prilly;20
20379;1008;Prilly;20
21314;1008;Prilly;20
23890;1008;Jouxtens-Mézery;4,9,19,24,25
28613;1008;Prilly;5,20
29299;1008;Prilly;5,28,37,17,30,20,29
29306;1008;Prilly;5,28,37,17,30,20,29
35370;1008;Prilly;20
35869;1008;Prilly;4,24,25
35870;1008;Prilly;4,24,25
35871;1008;Prilly;4,24,25
35872;1008;Prilly;25
47412;1008;Prilly;5,34,19,37,17,30,20,29
48273;1008;Prilly;4,24,25
29291;1009;Pully;5,28,37,17,30,20,29
30929;1009;Pully;4,9,11,20,24
30930;1009;Pully;4,9,11,12,14,3,20,24
30931;1009;Pully;4,9,11,12,14,3,20,24
30932;1009;Pully;4,9,11,12,14,3,20,24,25
30933;1009;Pully;2,4,9,11,20,24
30934;1009;Pully;4,9,11,12,14,3,20,24
30935;1009;Pully;4,9,12,14,3,20,24
30936;1009;Pully;4,9,11,20,24
30937;1009;Pully;4,9,11,20,24
30938;1009;Pully;4,9,11,12,14,3,20,24
30939;1009;Pully;4,9,11,20,24
30940;1009;Pully;2,4,9,11,20,24,25
30941;1009;Pully;4,9,11,12,14,3,20,24,25
30942;1009;Pully;4,9,11,12,20,24
30943;1009;Pully;4,9,11,12,14,3,20,24
30944;1009;Pully;2,4,9,11,12,14,3,20,24
30945;1009;Pully;11,20
30946;1009;Pully;4,9,11,20,24
30947;1009;Pully;4,9,11,12,20,24
30948;1009;Pully;4,9,11,20,24
30949;1009;Pully;4,9,11,20,24,25
30950;1009;Pully;2,4,9,11,12,14,3,20,24
30951;1009;Pully;2,4,9,20,24
39862;1009;Pully;20
39863;1009;Pully;20
42982;1009;Pully;4,11,12,14,3,20,24
42983;1009;Pully;4,9,11,12,14,3,20,24
42984;1009;Pully;4,9,11,12,14,3,20,24
42985;1009;Pully;4,9,11,20,24
47442;1009;Pully;5,34,28,19,37,17,30,20,29
19340;1010;Lausanne;20
28892;1010;Lausanne;5,20
30294;1010;Lausanne;2,4,5,24,25
30301;1010;Lausanne;25
30319;1010;Lausanne;2,4,5,24,25
30342;1010;Lausanne;2,5,25
35386;1010;Lausanne;20
39264;1010;Lausanne;5,20
39408;1010;Lausanne;5,37,20
45695;1010;Lausanne;20
47432;1010;Lausanne;5,34,19,37,17,30,20,29
21829;1012;Lausanne;20
28542;1012;Lausanne;5,20
29301;1012;Lausanne;5,28,37,17,30,20,29
30307;1012;Lausanne;4,5,24,25
30364;1012;Lausanne;2,4,5,24,25
30365;1012;Lausanne;4,5,24,25
35453;1012;Lausanne;2,4,5,24,25
47438;1012;Lausanne;5,34,28,19,37,17,30,20,29
8027;1018;Lausanne;1,2,4,5,6,28,9,10,11,19,14,16,17,18,3,20,39,21,22,23,24,25,27,26
19613;1018;Lausanne;20
20898;1018;Lausanne;20
21295;1018;Lausanne;20
28537;1018;Lausanne;5,20
28538;1018;Lausanne;5,20
28540;1018;Lausanne;5,20
29307;1018;Lausanne;5,28,37,17,30,20,29
30297;1018;Lausanne;2,4,5,24,25
30303;1018;Lausanne;2,4,5,24,25
30317;1018;Lausanne;2,4,5,24,25
30355;1018;Lausanne;2,4,5,24,25
30356;1018;Lausanne;2,4,5,24,25
30362;1018;Lausanne;2,4,5,24,25
33078;1018;Lausanne;35,5,17,20,22
35449;1018;Lausanne;2,4,5,24,25
39409;1018;Lausanne;5,37,20
39432;1018;Lausanne;5,28,37,17,30,20,29
45283;1018;Lausanne;20
47415;1018;Lausanne;5,34,19,37,17,30,20,29
47416;1018;Lausanne;5,34,19,37,17,30,20,29
47423;1018;Lausanne;5,34,19,37,17,30,20,29
9362;1020;Renens VD;1,2,4,5,34,6,28,9,10,11,19,14,16,17,18,3,20,39,21,22,23,24,25,27,26
18430;1020;Renens VD;5,20
20313;1020;Renens VD;20
22757;1020;Renens VD;5,34,28,37,17,30,20,29
25064;1020;Renens VD;4,5,24,25
25473;1020;Renens VD;5,25
25474;1020;Renens VD;2,4,5,19,24,25
25873;1020;Renens VD;25
25874;1020;Renens VD;4,5,24,25
25875;1020;Renens VD;4,5,24,25
25876;1020;Renens VD;4,5,24,25
25877;1020;Renens VD;4,24,25
28622;1020;Renens VD;5,20
30619;1020;Renens VD;4,5,20
31193;1020;Renens VD;5,20
32117;1020;Renens VD;4,5,24,25
32118;1020;Renens VD;20
32119;1020;Renens VD;5,37,30,20
32120;1020;Renens VD;20
32121;1020;Renens VD;20
35131;1020;Renens VD;2,5,25
39237;1020;Renens VD;5,20
41508;1020;Renens VD;5,6,28,37,17,30,20
45308;1020;Renens VD;35,5,28,17,20
47427;1020;Renens;5,34,19,37,17,30,20,29
47430;1020;Renens VD;5,34,19,37,17,30,20,29
47441;1020;Renens VD;5,34,28,19,37,17,30,20,29
18332;1022;Chavannes-près-Renens;20
20328;1022;Chavannes-près-Renens;20
21153;1022;Chavannes-près-Renens;20
25872;1022;Chavannes-près-Renens;9,25
39229;1022;Chavannes-près-Renens;5,20
39231;1022;Chavannes-près-Renens;5,20
39773;1022;Chavannes-près-Renens;20
47429;1022;Chavannes-près-Renens;5,34,19,37,17,30,20,29
20321;1023;Crissier;20
21292;1023;Crissier;20
28431;1023;Crissier;5,20
29341;1023;Crissier;5,28,37,17,30,20,25,29
30510;1023;Crissier;4,5,20
33090;1023;Crissier;35,5,17,20,22
33168;1023;Crissier;35,5,6,28,17,20
47445;1023;Crissier;5,34,28,19,37,17,30,20,29
8984;1024;Ecublens VD;1,2,4,35,5,36,32,34,7,9,10,11,13,19,14,37,17,18,3,30,20,22,23,24,25,27,26
