Bezirks-Nr.;Bezirkbezeichnung;BFS;Gemeinde;Glas;Metalle;Altoel;Total_Glas_Metalle_Altoel;Jahr_Datum;Jahr;Gesamtsteuerfuss_ohne_Kirchen;Durchschnitt_Steuerfuss_ueber_alle_Jahre;ANZAHL_PERSONEN_TOTAL;Glas_pro_Kopf;Metalle_pro_Kopf;Altoel_pro_Kopf;Total_Glas_Metalle_altoel_pro_kopf;Glas_pro_Kopf_durchschnitt;Metalle_pro_Kopf_durchschnitt;altoel_pro_Kopf_durchschnitt;total_pro_kopf_durchschnitt;Steuerfuss_aenderung;Steuerfuss_aenderung_prozentual;Glas_pro_Kopf_aenderung;Glas_pro_Kopf_aenderung_prozent;Metalle_pro_Kopf_aenderung;Metalle_pro_Kopf_aenderung_prozent;Altoel_pro_Kopf_aenderung;Altoel_pro_Kopf_aenderung_prozent;Total_Glas_Metalle_altoel_pro_kopf_aenderung;Total_Glas_Metalle_altoel_pro_kopf_aenderung_prozent
2; Andelfingen ;21; Adlikon ;12;1;1;14;01.01.2019;2019;130;121.08375;694;0.017291066;0.001440922;0.001440922;0.020172911;0.019163836;0.00329482;0.001571226;0.024063481;12;10.17%;-0.00761997;-30.59%;-0.00745588;-83.80%;-0.00033844;-19.02%;-0.01719364;-46.01%
2; Andelfingen ;21; Adlikon ;14;5;1;21;01.01.2012;2012;118;;562;0.024911032;0.008896797;0.001779359;0.037366548;;;;;;;;;;;;;;
2; Andelfingen ;21; Adlikon ;15;2;1;18;01.01.2013;2013;119.61;;573;0.02617801;0.003490401;0.001745201;0.031413613;;;;;;;;;;;;;;
2; Andelfingen ;21; Adlikon ;10;4;1;15;01.01.2014;2014;119.71;;609;0.016420361;0.006568144;0.001642036;0.024630542;;;;;;;;;;;;;;
2; Andelfingen ;21; Adlikon ;12;1;1;13;01.01.2015;2015;119.67;;662;0.018126888;0.001510574;0.001510574;0.019637462;;;;;;;;;;;;;;
2; Andelfingen ;21; Adlikon ;11;1;1;13;01.01.2016;2016;118.12;;662;0.016616314;0.001510574;0.001510574;0.019637462;;;;;;;;;;;;;;
2; Andelfingen ;21; Adlikon ;11;1;1;13;01.01.2017;2017;119.91;;655;0.016793893;0.001526718;0.001526718;0.019847328;;;;;;;;;;;;;;
2; Andelfingen ;21; Adlikon ;12;1;1;14;01.01.2018;2018;123.65;;707;0.016973126;0.001414427;0.001414427;0.01980198;;;;;;;;;;;;;;
7; Horgen ;131; Adliswil ;584;151;3;738;01.01.2019;2019;100;103.5;18869;0.030950236;0.008002544;0.000158991;0.039111771;0.031291842;0.009439205;0.000183354;0.040901025;-8;-7.41%;-0.00261091;-7.78%;-0.00222138;-21.73%;-0.00011883;-42.77%;-0.00495113;-11.24%
7; Horgen ;131; Adliswil ;604;184;5;793;01.01.2012;2012;108;;17997;0.033561149;0.010223926;0.000277824;0.044062899;;;;;;;;;;;;;;
7; Horgen ;131; Adliswil ;535;187;6;728;01.01.2013;2013;106;;18216;0.029369785;0.0102657;0.000329381;0.039964866;;;;;;;;;;;;;;
7; Horgen ;131; Adliswil ;529;195;4;728;01.01.2014;2014;104;;18381;0.028779718;0.010608781;0.000217616;0.039606115;;;;;;;;;;;;;;
7; Horgen ;131; Adliswil ;541;208;4;753;01.01.2015;2015;104;;18551;0.029162848;0.011212334;0.000215622;0.040590804;;;;;;;;;;;;;;
7; Horgen ;131; Adliswil ;602;171;2;774;01.01.2016;2016;104;;18651;0.03227709;0.009168409;0.000107233;0.041499115;;;;;;;;;;;;;;
7; Horgen ;131; Adliswil ;631;190;3;823;01.01.2017;2017;102;;18731;0.03368747;0.010143612;0.000160162;0.043937857;;;;;;;;;;;;;;
